Gemeente;Provincie
De Fryske Marren                   ;Fryslân                  
Hulst                              ;Zeeland                  
De Fryske Marren                   ;Fryslân                  
Delfzijl                           ;Groningen                
Delfzijl                           ;Groningen                
Noardeast-Fryslân                  ;Fryslân                  
Terneuzen                          ;Zeeland                  
De Fryske Marren                   ;Fryslân                  
Barneveld                          ;Gelderland               
Súdwest-Fryslân                    ;Fryslân                  
Opsterland                         ;Fryslân                  
Voorst                             ;Gelderland               
Breda                              ;Noord-Brabant            
Voorst                             ;Gelderland               
Groningen                          ;Groningen                
Tholen                             ;Zeeland                  
Maasgouw                           ;Limburg                  
Tiel                               ;Gelderland               
Hoogeveen                          ;Drenthe                  
Midden-Drenthe                     ;Drenthe                  
Stichtse Vecht                     ;Utrecht                  
Vijfheerenlanden                   ;Utrecht                  
Horst aan de Maas                  ;Limburg                  
Opsterland                         ;Fryslân                  
Smallingerland                     ;Fryslân                  
Tilburg                            ;Noord-Brabant            
Dinkelland                         ;Overijssel               
Het Hogeland                       ;Groningen                
Westvoorne                         ;Zuid-Holland             
Súdwest-Fryslân                    ;Fryslân                  
Súdwest-Fryslân                    ;Fryslân                  
Heerenveen                         ;Fryslân                  
De Fryske Marren                   ;Fryslân                  
Súdwest-Fryslân                    ;Fryslân                  
Midden-Groningen                   ;Groningen                
Westerkwartier                     ;Groningen                
Bronckhorst                        ;Gelderland               
Zevenaar                           ;Gelderland               
Noordoostpolder                    ;Flevoland                
Brummen                            ;Gelderland               
Loppersum                          ;Groningen                
West Betuwe                        ;Gelderland               
Noardeast-Fryslân                  ;Fryslân                  
Midden-Groningen                   ;Groningen                
Tubbergen                          ;Overijssel               
West Betuwe                        ;Gelderland               
Schagen                            ;Noord-Holland            
Steenwijkerland                    ;Overijssel               
Houten                             ;Utrecht                  
Voorst                             ;Gelderland               
Achtkarspelen                      ;Fryslân                  
Achtkarspelen                      ;Fryslân                  
Medemblik                          ;Noord-Holland            
Tynaarlo                           ;Drenthe                  
Tytsjerksteradiel                  ;Fryslân                  
Waadhoeke                          ;Fryslân                  
Waadhoeke                          ;Fryslân                  
Assen                              ;Drenthe                  
Berg en Dal                        ;Gelderland               
Apeldoorn                          ;Gelderland               
Uden                               ;Noord-Brabant            
Tilburg                            ;Noord-Brabant            
Westerveld                         ;Drenthe                  
Apeldoorn                          ;Gelderland               
Waterland                          ;Noord-Holland            
Uitgeest                           ;Noord-Holland            
Uithoorn                           ;Noord-Holland            
Het Hogeland                       ;Groningen                
Het Hogeland                       ;Groningen                
Súdwest-Fryslân                    ;Fryslân                  
Altena                             ;Noord-Brabant            
Meerssen                           ;Limburg                  
Oude IJsselstreek                  ;Gelderland               
Baarle-Nassau                      ;Noord-Brabant            
Het Hogeland                       ;Groningen                
Breda                              ;Noord-Brabant            
Alphen-Chaam                       ;Noord-Brabant            
Opsterland                         ;Fryslân                  
Urk                                ;Flevoland                
Stein                              ;Limburg                  
Alkmaar                            ;Noord-Holland            
Koggenland                         ;Noord-Holland            
Het Hogeland                       ;Groningen                
Utrecht                            ;Utrecht                  
Vaals                              ;Limburg                  
Epe                                ;Gelderland               
Overbetuwe                         ;Gelderland               
Katwijk                            ;Zuid-Holland             
Valkenburg aan de Geul             ;Limburg                  
Valkenswaard                       ;Noord-Brabant            
Borger-Odoorn                      ;Drenthe                  
Borger-Odoorn                      ;Drenthe                  
Borger-Odoorn                      ;Drenthe                  
West Betuwe                        ;Gelderland               
Oude IJsselstreek                  ;Gelderland               
Oude IJsselstreek                  ;Gelderland               
Tubbergen                          ;Overijssel               
Westerwolde                        ;Groningen                
Altena                             ;Noord-Brabant            
Veendam                            ;Groningen                
Veenendaal                         ;Utrecht                  
Smallingerland                     ;Fryslân                  
Noordenveld                        ;Drenthe                  
De Wolden                          ;Drenthe                  
Noardeast-Fryslân                  ;Fryslân                  
Emmen                              ;Drenthe                  
Veere                              ;Zeeland                  
Heerde                             ;Gelderland               
De Fryske Marren                   ;Fryslân                  
Meierijstad                        ;Noord-Brabant            
Hollands Kroon                     ;Noord-Holland            
Maasdriel                          ;Gelderland               
Hardenberg                         ;Overijssel               
Venlo                              ;Limburg                  
Veldhoven                          ;Noord-Brabant            
Grave                              ;Noord-Brabant            
Rheden                             ;Gelderland               
Velsen                             ;Noord-Holland            
Velsen                             ;Noord-Holland            
Velsen                             ;Noord-Holland            
Hardenberg                         ;Overijssel               
Boekel                             ;Noord-Brabant            
Drechterland                       ;Noord-Holland            
Venlo                              ;Limburg                  
Venray                             ;Limburg                  
Gennep                             ;Limburg                  
Eersel                             ;Noord-Brabant            
Montferland                        ;Gelderland               
Venray                             ;Limburg                  
Vijfheerenlanden                   ;Utrecht                  
Cuijk                              ;Noord-Brabant            
Bronckhorst                        ;Gelderland               
Nunspeet                           ;Gelderland               
Het Hogeland                       ;Groningen                
Boxmeer                            ;Noord-Brabant            
Brielle                            ;Zuid-Holland             
Haarlemmermeer                     ;Noord-Holland            
Vaals                              ;Limburg                  
Ommen                              ;Overijssel               
Weststellingwerf                   ;Fryslân                  
Bernheze                           ;Noord-Brabant            
's-Hertogenbosch                   ;Noord-Brabant            
Ommen                              ;Overijssel               
De Ronde Venen                     ;Utrecht                  
Westerkwartier                     ;Groningen                
Vlaardingen                        ;Zuid-Holland             
Westerwolde                        ;Groningen                
Westerveld                         ;Drenthe                  
Westerveld                         ;Drenthe                  
Stadskanaal                        ;Groningen                
Utrecht                            ;Utrecht                  
Vlieland                           ;Fryslân                  
Deurne                             ;Noord-Brabant            
Heusden                            ;Noord-Brabant            
Vlissingen                         ;Zeeland                  
Krimpenerwaard                     ;Zuid-Holland             
Roerdalen                          ;Limburg                  
Voerendaal                         ;Limburg                  
Bloemendaal                        ;Noord-Holland            
Hulst                              ;Zeeland                  
Edam-Volendam                      ;Noord-Holland            
Uden                               ;Noord-Brabant            
Steenwijkerland                    ;Overijssel               
Rotterdam                          ;Zuid-Holland             
Leidschendam-Voorburg              ;Zuid-Holland             
Teylingen                          ;Zuid-Holland             
Voorschoten                        ;Zuid-Holland             
Oude IJsselstreek                  ;Gelderland               
Voorst                             ;Gelderland               
Barneveld                          ;Gelderland               
Heerde                             ;Gelderland               
Bronckhorst                        ;Gelderland               
Bernheze                           ;Noord-Brabant            
Boxmeer                            ;Noord-Brabant            
Oost Gelre                         ;Gelderland               
Aa en Hunze                        ;Drenthe                  
Venray                             ;Limburg                  
Stichtse Vecht                     ;Utrecht                  
Tynaarlo                           ;Drenthe                  
Westerwolde                        ;Groningen                
Twenterand                         ;Overijssel               
Twenterand                         ;Overijssel               
Nieuwkoop                          ;Zuid-Holland             
Waadhoeke                          ;Fryslân                  
Veere                              ;Zeeland                  
Vught                              ;Noord-Brabant            
West Betuwe                        ;Gelderland               
Súdwest-Fryslân                    ;Fryslân                  
Molenlanden                        ;Zuid-Holland             
Texel                              ;Noord-Holland            
Waalre                             ;Noord-Brabant            
Waalwijk                           ;Noord-Brabant            
Oldambt                            ;Groningen                
Reimerswaal                        ;Zeeland                  
West Betuwe                        ;Gelderland               
Bodegraven-Reeuwijk                ;Zuid-Holland             
Altena                             ;Noord-Brabant            
Schagen                            ;Noord-Holland            
Noardeast-Fryslân                  ;Fryslân                  
Coevorden                          ;Drenthe                  
Waddinxveen                        ;Zuid-Holland             
Tiel                               ;Gelderland               
Drimmelen                          ;Noord-Brabant            
Delfzijl                           ;Groningen                
Wageningen                         ;Gelderland               
Valkenburg aan de Geul             ;Limburg                  
Hulst                              ;Zeeland                  
Dantumadiel                        ;Fryslân                  
West Maas en Waal                  ;Gelderland               
Steenwijkerland                    ;Overijssel               
Sint Anthonis                      ;Noord-Brabant            
Venray                             ;Limburg                  
Noardeast-Fryslân                  ;Fryslân                  
Heerde                             ;Gelderland               
Westerveld                         ;Drenthe                  
Westerveld                         ;Drenthe                  
Edam-Volendam                      ;Noord-Holland            
Het Hogeland                       ;Groningen                
Het Hogeland                       ;Groningen                
Noardeast-Fryslân                  ;Fryslân                  
Schagen                            ;Noord-Holland            
Teylingen                          ;Zuid-Holland             
Súdwest-Fryslân                    ;Fryslân                  
Zutphen                            ;Gelderland               
Leeuwarden                         ;Fryslân                  
Leeuwarden                         ;Fryslân                  
Ooststellingwerf                   ;Fryslân                  
Waalwijk                           ;Noord-Brabant            
Wassenaar                          ;Zuid-Holland             
Westerveld                         ;Drenthe                  
Waterland                          ;Noord-Holland            
Midden-Groningen                   ;Groningen                
Westland                           ;Zuid-Holland             
Sluis                              ;Zeeland                  
De Ronde Venen                     ;Utrecht                  
Westerwolde                        ;Groningen                
Opmeer                             ;Noord-Holland            
Dinkelland                         ;Overijssel               
Weert                              ;Limburg                  
Weesp                              ;Noord-Holland            
Het Hogeland                       ;Groningen                
Doetinchem                         ;Gelderland               
Leeuwarden                         ;Fryslân                  
Emmen                              ;Drenthe                  
Ede                                ;Gelderland               
Maasdriel                          ;Gelderland               
Bergen (L.)                        ;Limburg                  
Bergen (L.)                        ;Limburg                  
Olst-Wijhe                         ;Overijssel               
Kapelle                            ;Zeeland                  
Apeldoorn                          ;Gelderland               
Leeuwarden                         ;Fryslân                  
Altena                             ;Noord-Brabant            
Bunnik                             ;Utrecht                  
Zundert                            ;Noord-Brabant            
Medemblik                          ;Noord-Holland            
Olst-Wijhe                         ;Overijssel               
Maasgouw                           ;Limburg                  
Beemster                           ;Noord-Holland            
De Bilt                            ;Utrecht                  
Borger-Odoorn                      ;Drenthe                  
Terneuzen                          ;Zeeland                  
Oude IJsselstreek                  ;Gelderland               
Sint Anthonis                      ;Noord-Brabant            
Midden-Drenthe                     ;Drenthe                  
Midden-Groningen                   ;Groningen                
Dantumadiel                        ;Fryslân                  
Loppersum                          ;Groningen                
Noardeast-Fryslân                  ;Fryslân                  
Twenterand                         ;Overijssel               
Bergeijk                           ;Noord-Brabant            
Hollands Kroon                     ;Noord-Holland            
Oldambt                            ;Groningen                
Het Hogeland                       ;Groningen                
Noordenveld                        ;Drenthe                  
Westervoort                        ;Gelderland               
Loppersum                          ;Groningen                
Alkmaar                            ;Noord-Holland            
Súdwest-Fryslân                    ;Fryslân                  
Waadhoeke                          ;Fryslân                  
Veere                              ;Zeeland                  
Zaanstad                           ;Noord-Holland            
Hoeksche Waard                     ;Zuid-Holland             
Terschelling                       ;Fryslân                  
Drechterland                       ;Noord-Holland            
Zaanstad                           ;Noord-Holland            
Steenwijkerland                    ;Overijssel               
Haarlemmermeer                     ;Noord-Holland            
Noardeast-Fryslân                  ;Fryslân                  
Het Hogeland                       ;Groningen                
Beuningen                          ;Gelderland               
Oldebroek                          ;Gelderland               
Coevorden                          ;Drenthe                  
Coevorden                          ;Drenthe                  
Bronckhorst                        ;Gelderland               
Waadhoeke                          ;Fryslân                  
Wierden                            ;Overijssel               
Hollands Kroon                     ;Noord-Holland            
Hollands Kroon                     ;Noord-Holland            
Noardeast-Fryslân                  ;Fryslân                  
Wijchen                            ;Gelderland               
De Fryske Marren                   ;Fryslân                  
Drechterland                       ;Noord-Holland            
Wormerland                         ;Noord-Holland            
Olst-Wijhe                         ;Overijssel               
De Wolden                          ;Drenthe                  
Beverwijk                          ;Noord-Holland            
Wijk bij Duurstede                 ;Utrecht                  
Altena                             ;Noord-Brabant            
Gulpen-Wittem                      ;Limburg                  
Harlingen                          ;Fryslân                  
Beekdaelen                         ;Limburg                  
Montferland                        ;Gelderland               
Molenlanden                        ;Zuid-Holland             
Opsterland                         ;Fryslân                  
Midden-Drenthe                     ;Drenthe                  
Mill en Sint Hubert                ;Noord-Brabant            
Veendam                            ;Groningen                
Smallingerland                     ;Fryslân                  
Goes                               ;Zeeland                  
Westerveld                         ;Drenthe                  
Steenwijkerland                    ;Overijssel               
Moerdijk                           ;Noord-Brabant            
De Ronde Venen                     ;Utrecht                  
Voorst                             ;Gelderland               
Westerkwartier                     ;Groningen                
Kampen                             ;Overijssel               
Tynaarlo                           ;Drenthe                  
Sittard-Geleen                     ;Limburg                  
Hollands Kroon                     ;Noord-Holland            
Groningen                          ;Groningen                
Oldambt                            ;Groningen                
Beuningen                          ;Gelderland               
Waadhoeke                          ;Fryslân                  
Het Hogeland                       ;Groningen                
Eersel                             ;Noord-Brabant            
Winterswijk                        ;Gelderland               
Winterswijk                        ;Gelderland               
Winterswijk                        ;Gelderland               
Winterswijk                        ;Gelderland               
Winterswijk                        ;Gelderland               
Winterswijk                        ;Gelderland               
Winterswijk                        ;Gelderland               
Winterswijk                        ;Gelderland               
Winterswijk                        ;Gelderland               
Winterswijk                        ;Gelderland               
Loppersum                          ;Groningen                
Leeuwarden                         ;Fryslân                  
Noord-Beveland                     ;Zeeland                  
Ommen                              ;Overijssel               
Súdwest-Fryslân                    ;Fryslân                  
Steenwijkerland                    ;Overijssel               
Westerveld                         ;Drenthe                  
Gulpen-Wittem                      ;Limburg                  
Midden-Drenthe                     ;Drenthe                  
Súdwest-Fryslân                    ;Fryslân                  
Waadhoeke                          ;Fryslân                  
Woensdrecht                        ;Noord-Brabant            
Woerden                            ;Utrecht                  
Nieuwkoop                          ;Zuid-Holland             
Medemblik                          ;Noord-Holland            
Delfzijl                           ;Groningen                
Renkum                             ;Gelderland               
Goes                               ;Zeeland                  
Súdwest-Fryslân                    ;Fryslân                  
Groningen                          ;Groningen                
Weststellingwerf                   ;Fryslân                  
Súdwest-Fryslân                    ;Fryslân                  
Súdwest-Fryslân                    ;Fryslân                  
Súdwest-Fryslân                    ;Fryslân                  
Wormerland                         ;Noord-Holland            
Zaanstad                           ;Noord-Holland            
Kaag en Braassem                   ;Zuid-Holland             
Midden-Groningen                   ;Groningen                
Castricum                          ;Noord-Holland            
Woudenberg                         ;Utrecht                  
Altena                             ;Noord-Brabant            
Súdwest-Fryslân                    ;Fryslân                  
Roosendaal                         ;Noord-Brabant            
Roosendaal                         ;Noord-Brabant            
Tytsjerksteradiel                  ;Fryslân                  
Leeuwarden                         ;Fryslân                  
Tynaarlo                           ;Drenthe                  
Reimerswaal                        ;Zeeland                  
Súdwest-Fryslân                    ;Fryslân                  
Súdwest-Fryslân                    ;Fryslân                  
Venray                             ;Limburg                  
Terneuzen                          ;Zeeland                  
Zaanstad                           ;Noord-Holland            
Zaanstad                           ;Noord-Holland            
Kampen                             ;Overijssel               
Zaltbommel                         ;Gelderland               
Schagen                            ;Noord-Holland            
Borger-Odoorn                      ;Drenthe                  
Het Hogeland                       ;Groningen                
Weststellingwerf                   ;Fryslân                  
Emmen                              ;Drenthe                  
Loppersum                          ;Groningen                
Zandvoort                          ;Noord-Holland            
Montferland                        ;Gelderland               
Tynaarlo                           ;Drenthe                  
Landerd                            ;Noord-Brabant            
Loppersum                          ;Groningen                
Zeewolde                           ;Flevoland                
Rucphen                            ;Noord-Brabant            
Woerden                            ;Utrecht                  
Tynaarlo                           ;Drenthe                  
Assen                              ;Drenthe                  
Assen                              ;Drenthe                  
Zeist                              ;Utrecht                  
Bronckhorst                        ;Gelderland               
Borne                              ;Overijssel               
Tiel                               ;Gelderland               
West Betuwe                        ;Gelderland               
Overbetuwe                         ;Gelderland               
Zevenaar                           ;Gelderland               
Moerdijk                           ;Noord-Brabant            
Moerdijk                           ;Noord-Brabant            
Drimmelen                          ;Noord-Brabant            
Nieuwkoop                          ;Zuid-Holland             
Zuidplas                           ;Zuid-Holland             
Westerkwartier                     ;Groningen                
Schouwen-Duiveland                 ;Zeeland                  
Oost Gelre                         ;Gelderland               
Vijfheerenlanden                   ;Utrecht                  
Hollands Kroon                     ;Noord-Holland            
Loppersum                          ;Groningen                
Noordwijk                          ;Zuid-Holland             
Buren                              ;Gelderland               
Buren                              ;Gelderland               
Zoetermeer                         ;Zuid-Holland             
Zoeterwoude                        ;Zuid-Holland             
Schouwen-Duiveland                 ;Zeeland                  
Westerveld                         ;Drenthe                  
Veere                              ;Zeeland                  
Het Hogeland                       ;Groningen                
Hoeksche Waard                     ;Zuid-Holland             
Midden-Groningen                   ;Groningen                
Terneuzen                          ;Zeeland                  
Koggenland                         ;Noord-Holland            
Waterland                          ;Noord-Holland            
Westerkwartier                     ;Groningen                
Tynaarlo                           ;Drenthe                  
Nissewaard                         ;Zuid-Holland             
Tynaarlo                           ;Drenthe                  
Beemster                           ;Noord-Holland            
Langedijk                          ;Noord-Holland            
Alkmaar                            ;Noord-Holland            
Steenwijkerland                    ;Overijssel               
Midden-Drenthe                     ;Drenthe                  
Noordenveld                        ;Drenthe                  
Het Hogeland                       ;Groningen                
De Wolden                          ;Drenthe                  
Sluis                              ;Zeeland                  
Zaltbommel                         ;Gelderland               
Wierden                            ;Overijssel               
Zundert                            ;Noord-Brabant            
Súdwest-Fryslân                    ;Fryslân                  
Zutphen                            ;Gelderland               
Het Hogeland                       ;Groningen                
Hoorn                              ;Noord-Holland            
Medemblik                          ;Noord-Holland            
Medemblik                          ;Noord-Holland            
Haarlemmermeer                     ;Noord-Holland            
Noardeast-Fryslân                  ;Fryslân                  
Alphen aan den Rijn                ;Zuid-Holland             
Haarlemmermeer                     ;Noord-Holland            
Barneveld                          ;Gelderland               
Emmen                              ;Drenthe                  
Brielle                            ;Zuid-Holland             
Zwartewaterland                    ;Overijssel               
Coevorden                          ;Drenthe                  
Waadhoeke                          ;Fryslân                  
Midden-Drenthe                     ;Drenthe                  
Zwijndrecht                        ;Zuid-Holland             
Coevorden                          ;Drenthe                  
Zwolle                             ;Overijssel               
Aadorp;Overijssel               
Aagtekerke;Zeeland                  
Aalden;Drenthe                  
Aalsmeer;Noord-Holland            
Aalsmeerderbrug;Noord-Holland            
Aalst;Gelderland               
Aalsum;Fryslân                  
Aalten;Gelderland               
Ter Aar;Zuid-Holland             
Ter Aard;Drenthe                  
Aardenburg;Zeeland                  
Aarlanderveen;Zuid-Holland             
Aarle-Rixtel;Noord-Brabant            
Aartswoud;Noord-Holland            
Abbega;Fryslân                  
Abbekerk;Noord-Holland            
Abbenbroek;Zuid-Holland             
Abbenes;Noord-Holland            
Abcoude;Utrecht                  
Achlum;Fryslân                  
Achterveld;Gelderland               
Achterveld;Utrecht                  
Achthuizen;Zuid-Holland             
Achtmaal;Noord-Brabant            
Acquoy;Gelderland               
Adorp;Groningen                
Aduard;Groningen                
Aerdenhout;Noord-Holland            
Aerdt;Gelderland               
Afferden;Gelderland               
Afferden L;Limburg                  
Agelo;Overijssel               
Akersloot;Noord-Holland            
Akkrum;Fryslân                  
Akmarijp;Fryslân                  
Albergen;Overijssel               
Alblasserdam;Zuid-Holland             
Alde Leie;Fryslân                  
Aldeboarn;Fryslân                  
Aldtsjerk;Fryslân                  
Alem;Gelderland               
Alkmaar;Noord-Holland            
Allingawier;Fryslân                  
Almelo;Overijssel               
Almen;Gelderland               
Almere;Flevoland                
Almkerk;Noord-Brabant            
Alphen;Gelderland               
Alphen;Noord-Brabant            
Alphen aan den Rijn;Zuid-Holland             
Alteveer;Drenthe                  
Alteveer;Groningen                
Alteveer;Drenthe                  
Alteveer gem Hoogeveen;Drenthe                  
Altforst;Gelderland               
Ambt Delden;Overijssel               
Ameide;Utrecht                  
Amen;Drenthe                  
America;Limburg                  
Amerongen;Utrecht                  
Amersfoort;Utrecht                  
Ammerstol;Zuid-Holland             
Ammerzoden;Gelderland               
Amstelhoek;Utrecht                  
Amstelveen;Noord-Holland            
Amstenrade;Limburg                  
Amsterdam;Noord-Holland            
Amsterdam-Duivendrecht;Noord-Holland            
Andel;Noord-Brabant            
Den Andel;Groningen                
Andelst;Gelderland               
Anderen;Drenthe                  
Andijk;Noord-Holland            
Ane;Overijssel               
Anerveen;Overijssel               
Anevelde;Overijssel               
Angeren;Gelderland               
Angerlo;Gelderland               
Anjum;Fryslân                  
Ankeveen;Noord-Holland            
Anloo;Drenthe                  
Anna Paulowna;Noord-Holland            
Annen;Drenthe                  
Annerveenschekanaal;Drenthe                  
Ansen;Drenthe                  
Ansen;Drenthe                  
Ter Apel;Groningen                
Apeldoorn;Gelderland               
Ter Apelkanaal;Groningen                
Appelscha;Fryslân                  
Appeltern;Gelderland               
Appingedam;Groningen                
Arcen;Limburg                  
Arkel;Zuid-Holland             
Arnemuiden;Zeeland                  
Arnhem;Gelderland               
Arriën;Overijssel               
Arum;Fryslân                  
Asch;Gelderland               
Asperen;Gelderland               
Assen;Drenthe                  
Assendelft;Noord-Holland            
Asten;Noord-Brabant            
Augsbuurt;Fryslân                  
Augustinusga;Fryslân                  
Austerlitz;Utrecht                  
Avenhorn;Noord-Holland            
Axel;Zeeland                  
Azewijn;Gelderland               
Baaiduinen;Fryslân                  
Baaium;Fryslân                  
Baak;Gelderland               
Baambrugge;Utrecht                  
Baard;Fryslân                  
Baarland;Zeeland                  
Baarle-Nassau;Noord-Brabant            
Baarlo;Limburg                  
Baarlo;Overijssel               
Baarn;Utrecht                  
Baars;Overijssel               
Babberich;Gelderland               
Babyloniënbroek;Noord-Brabant            
Bad Nieuweschans;Groningen                
Badhoevedorp;Noord-Holland            
Baexem;Limburg                  
Baflo;Groningen                
Bakel;Noord-Brabant            
Bakhuizen;Fryslân                  
Bakkeveen;Fryslân                  
Balgoij;Gelderland               
Balinge;Drenthe                  
Balk;Fryslân                  
Balkbrug;Overijssel               
Balloërveld;Drenthe                  
Balloo;Drenthe                  
Ballum;Fryslân                  
Baneheide;Limburg                  
Banholt;Limburg                  
Bant;Flevoland                
Bantega;Fryslân                  
Barchem;Gelderland               
Barendrecht;Zuid-Holland             
Barger-Compascuum;Drenthe                  
Barneveld;Gelderland               
Barsingerhorn;Noord-Holland            
Basse;Overijssel               
Batenburg;Gelderland               
Bathmen;Overijssel               
Bavel;Noord-Brabant            
Bavel AC;Noord-Brabant            
Bears;Fryslân                  
Bedum;Groningen                
Beegden;Limburg                  
Beek;Gelderland               
Beek;Limburg                  
Beek;Gelderland               
Beek en Donk;Noord-Brabant            
Beekbergen;Gelderland               
Beemte Broekland;Gelderland               
Beers NB;Noord-Brabant            
Beerta;Groningen                
Beerze;Overijssel               
Beerzerveld;Overijssel               
Beesd;Gelderland               
Beesel;Limburg                  
Beets;Noord-Holland            
Beetsterzwaag;Fryslân                  
Beilen;Drenthe                  
Beinsdorp;Noord-Holland            
Belfeld;Limburg                  
Bellingwolde;Groningen                
Beltrum;Gelderland               
Belt-Schutsloot;Overijssel               
Bemelen;Limburg                  
Bemmel;Gelderland               
Beneden-Leeuwen;Gelderland               
Bennebroek;Noord-Holland            
Bennekom;Gelderland               
Benneveld;Drenthe                  
Benningbroek;Noord-Holland            
Benschop;Utrecht                  
Bentelo;Overijssel               
Benthuizen;Zuid-Holland             
Bentveld;Noord-Holland            
Berg en Dal;Gelderland               
Berg en Terblijt;Limburg                  
Bergambacht;Zuid-Holland             
Bergeijk;Noord-Brabant            
Bergen (NH);Noord-Holland            
Bergen aan Zee;Noord-Holland            
Bergen L;Limburg                  
Bergen op Zoom;Noord-Brabant            
Bergentheim;Overijssel               
Bergharen;Gelderland               
Berghem;Noord-Brabant            
Bergschenhoek;Zuid-Holland             
Beringe;Limburg                  
Berkel en Rodenrijs;Zuid-Holland             
Berkel-Enschot;Noord-Brabant            
Berkenwoude;Zuid-Holland             
Berkhout;Noord-Holland            
Berlicum;Noord-Brabant            
Berltsum;Fryslân                  
Bern;Gelderland               
Best;Noord-Brabant            
Beugen;Noord-Brabant            
Beuningen;Overijssel               
Beuningen Gld;Gelderland               
Beusichem;Gelderland               
Beutenaken;Limburg                  
Beverwijk;Noord-Holland            
Biddinghuizen;Flevoland                
Bierum;Groningen                
Biervliet;Zeeland                  
Biervliet;Zeeland                  
Biest-Houtakker;Noord-Brabant            
Biezenmortel;Noord-Brabant            
Biggekerke;Zeeland                  
De Bilt;Utrecht                  
Bilthoven;Utrecht                  
Bingelrade;Limburg                  
Bitgum;Fryslân                  
Bitgummole;Fryslân                  
Bladel;Noord-Brabant            
Blankenham;Overijssel               
Blaricum;Noord-Holland            
Blauwestad;Groningen                
Blauwhuis;Fryslân                  
Bleiswijk;Zuid-Holland             
Blesdijke;Fryslân                  
Bleskensgraaf ca;Zuid-Holland             
De Blesse;Fryslân                  
Blessum;Fryslân                  
Blije;Fryslân                  
Blijham;Groningen                
Blitterswijck;Limburg                  
Bloemendaal;Noord-Holland            
Blokker;Noord-Holland            
Blokzijl;Overijssel               
Boazum;Fryslân                  
Bocholtz;Limburg                  
Bodegraven;Zuid-Holland             
Boekel;Noord-Brabant            
Boelenslaan;Fryslân                  
Boer;Fryslân                  
Ten Boer;Groningen                
Boerakker;Groningen                
Boesingheliede;Noord-Holland            
Boijl;Fryslân                  
Boksum;Fryslân                  
Bolsward;Fryslân                  
Den Bommel;Zuid-Holland             
Bontebok;Fryslân                  
Boornbergum;Fryslân                  
Boornzwaag;Fryslân                  
Borculo;Gelderland               
Borger;Drenthe                  
Borgercompagnie;Groningen                
Borgercompagnie;Groningen                
Borgsweer;Groningen                
Born;Limburg                  
Borne;Overijssel               
Bornerbroek;Overijssel               
Bornwird;Fryslân                  
Borssele;Zeeland                  
Bosch en Duin;Utrecht                  
Boschoord;Drenthe                  
Boskoop;Zuid-Holland             
Bosschenhoofd;Noord-Brabant            
Botlek Rotterdam;Zuid-Holland             
Bourtange;Groningen                
Bovenkarspel;Noord-Holland            
Boven-Leeuwen;Gelderland               
Bovensmilde;Drenthe                  
Boxmeer;Noord-Brabant            
Boxtel;Noord-Brabant            
Braamt;Gelderland               
Brakel;Gelderland               
Brandwijk;Zuid-Holland             
Brantgum;Fryslân                  
Breda;Noord-Brabant            
Bredevoort;Gelderland               
Breedenbroek;Gelderland               
Breezand;Noord-Holland            
Breezanddijk;Fryslân                  
Breskens;Zeeland                  
Breukelen;Utrecht                  
Breukeleveen;Noord-Holland            
Brielle;Zuid-Holland             
Briltil;Groningen                
Britsum;Fryslân                  
Britswert;Fryslân                  
Broek;Fryslân                  
Broek in Waterland;Noord-Holland            
Broek op Langedijk;Noord-Holland            
Broekhuizen;Limburg                  
Broekhuizen;Drenthe                  
Broekhuizenvorst;Limburg                  
Broekland;Overijssel               
Broeksterwâld;Fryslân                  
Bronkhorst;Gelderland               
Bronneger;Drenthe                  
Bronnegerveen;Drenthe                  
Brouwershaven;Zeeland                  
Bruchem;Gelderland               
Brucht;Overijssel               
Bruchterveld;Overijssel               
Bruinehaar;Overijssel               
Bruinisse;Zeeland                  
Brummen;Gelderland               
Brunssum;Limburg                  
Bruntinge;Drenthe                  
Buchten;Limburg                  
Budel;Noord-Brabant            
Budel-Dorplein;Noord-Brabant            
Budel-Schoot;Noord-Brabant            
Buggenum;Limburg                  
Buinen;Drenthe                  
Buinerveen;Drenthe                  
Buitenkaag;Noord-Holland            
Buitenpost;Fryslân                  
De Bult;Overijssel               
Bunde;Limburg                  
Bunne;Drenthe                  
Bunnik;Utrecht                  
Bunschoten-Spakenburg;Utrecht                  
Burdaard;Fryslân                  
Buren;Fryslân                  
Buren;Gelderland               
Den Burg;Noord-Holland            
Burgerbrug;Noord-Holland            
Burgerveen;Noord-Holland            
Burgh-Haamstede;Zeeland                  
Burgum;Fryslân                  
Burgwerd;Fryslân                  
Burum;Fryslân                  
Bussum;Noord-Holland            
Buurmalsen;Gelderland               
Buurmalsen;Gelderland               
Cadier en Keer;Limburg                  
Cadzand;Zeeland                  
Callantsoog;Noord-Holland            
Capelle aan den IJssel;Zuid-Holland             
Castelre;Noord-Brabant            
Castenray;Limburg                  
Casteren;Noord-Brabant            
Castricum;Noord-Holland            
Chaam;Noord-Brabant            
Clinge;Zeeland                  
De Cocksdorp;Noord-Holland            
Coevorden;Drenthe                  
Colijnsplaat;Zeeland                  
Collendoorn;Overijssel               
Colmschate;Overijssel               
Cornwerd;Fryslân                  
Cothen;Utrecht                  
Creil;Flevoland                
Cromvoirt;Noord-Brabant            
Cruquius;Noord-Holland            
Cuijk;Noord-Brabant            
Culemborg;Gelderland               
